# #DistanceElevation	#DistanceHeightInc	#DistanceHeightDec	#DistanceHeadwind	#DistanceTailwind	#DistancePressureIncrease	#DistancePressureDecrease
-1.669614973636714137e-138	-2.881015624516933146e-139	2.614847285203321436e-139	2.740118519720097023e-141	-1.425023174803897677e-140	-1.340812875787392372e-142	-1.843337830382563872e-140
2.749610756389849284e-134	4.744930017035311772e-135	-4.306814689442091697e-135	-3.240106403499560834e-137	2.344351803613154756e-136	8.711844602747056591e-138	3.032588038530896180e-136
-7.978330260546463293e-131	-1.376978530664948629e-131	1.250105666849003054e-131	-1.540456142043563441e-134	-6.799766705379390670e-133	-8.035469180693507508e-134	-8.761064417408743029e-133
-5.354781032388157128e-127	-9.240815280268101721e-128	8.387340996875538808e-128	7.021452501007445989e-130	-4.555421224469137427e-129	-1.386506985823901140e-130	-5.913566369745019652e-129
2.525937384687636515e-124	4.362946328515329520e-125	-3.969703320812344798e-125	3.261948176739639253e-126	2.180010908288610072e-126	1.855953843307110950e-126	2.638832761532676060e-126
1.258061981572730307e-119	2.171248041341437069e-120	-1.971137005774696202e-120	-1.569792160609992617e-123	1.069508356099896126e-121	1.079265808529638160e-122	1.383912355107523873e-121
5.160060806251175876e-116	8.904905682750632544e-117	-8.081776191403103600e-117	-9.506444092160759478e-119	4.369410846256880565e-118	5.432365798661948408e-121	5.718260596507958491e-118
-3.074485941935350491e-113	-5.309508648434038266e-114	4.835868684303479534e-114	-5.382433797306974502e-115	-2.707995792048866701e-115	-2.944546931777120465e-115	-3.123205752425035914e-115
-1.397382807815431550e-108	-2.411733425103597529e-109	2.189851964586152376e-109	-8.628867881932301994e-112	-1.186887820805695411e-110	-1.726051325228380895e-111	-1.532898040781986893e-110
-7.255837883095162397e-105	-1.252213830478517835e-105	1.136640889446720750e-105	9.021375795464541388e-108	-6.124696713435722591e-107	-2.354466832293518655e-108	-8.029728175451838534e-107
-8.549973807843302679e-102	-1.475329820085119672e-102	1.337088836741440109e-102	8.430911533535067039e-104	-6.995780200653753234e-104	3.324089495327914222e-104	-9.859348381698413595e-104
1.287458703533816584e-97	2.221991740180395602e-98	-2.018376542899158413e-98	3.236181559748027751e-100	1.098836631634623272e-99	2.794907663963383613e-100	1.399019697429695917e-99
1.000303712869955427e-93	1.726314779864964733e-94	-1.567421730574604015e-94	-1.304630988363056163e-97	8.441534365696120589e-96	8.867689947932791653e-97	1.101754889759964443e-95
2.876848406553812700e-90	4.964617458647015005e-91	-4.505293361117048197e-91	-9.922296583948874386e-93	2.385781147553147186e-92	-2.053277308641537670e-93	3.224991848962338869e-92
-7.893194202127452449e-87	-1.362246273024889582e-87	1.238560385077196555e-87	-6.390846883751981932e-89	-6.935487088508319598e-89	-3.838486380534284991e-89	-8.304845411765561650e-89
-1.218448768271641859e-82	-2.102697360751202336e-83	1.909741652357842408e-83	-1.520637559330369335e-85	-1.032179242048256762e-84	-1.909314237135634472e-85	-1.332108346000581907e-84
-5.266921014626951935e-79	-9.088720869374971143e-80	8.251756877918329263e-80	7.935960821901454643e-82	-4.377876863098906898e-81	-1.356847004513151943e-82	-5.849248483888957733e-81
7.063778170679218461e-77	1.221610054989596244e-77	-1.127645751044266856e-77	9.498395424885347598e-78	1.170996535758075582e-78	4.571420107782475867e-78	1.653642731827539007e-79
1.417714937294765886e-71	2.446490405654994193e-72	-2.222468017389226298e-72	3.793960411445192576e-74	1.211326141087282800e-73	3.194300758954293717e-74	1.536126279546746273e-73
7.650379695788886550e-68	1.320048961104346429e-68	-1.198830751086116969e-68	-3.745290925954202967e-71	6.357988034104605546e-70	5.925572381613839557e-71	8.448770238959846094e-70
