# #DistanceElevation	#DistanceHeightInc	#DistanceHeightDec	#DistanceHeadwind	#DistanceTailwind	#DistancePressureIncrease	#DistancePressureDecrease
-1.878758071405282997e-97	-8.562094735101983537e-98	2.744545986348043791e-98	-3.099880262210075048e-99	2.793443782001519192e-99	1.301040550378857023e-99	-1.184820614471634476e-99
2.901487070070407242e-94	1.322318700304556944e-94	-4.241445245055690078e-95	4.841216987967569046e-96	-4.332044289830832472e-96	-2.048707421069411768e-96	1.890219723671000977e-96
-7.866259201946363879e-92	-3.585088288674442079e-92	1.151991065323671885e-92	-1.365427523119051674e-93	1.197858333193826638e-93	5.842241268688353755e-94	-5.603527062381476150e-94
-4.990720430116190622e-89	-2.274464040017415380e-89	7.295304490282566338e-90	-8.246205047365263965e-91	7.390759505172571061e-91	3.521295833692463473e-91	-3.227023650647579339e-91
2.085661837507947387e-87	9.508612666439916853e-88	-3.104835778280691740e-88	5.165468278051766346e-89	-3.944018161353040092e-89	-2.248253501769478006e-89	2.718882403721312031e-89
1.030270766665084027e-83	4.695491157071476381e-84	-1.508372359503621751e-84	1.761148372026584628e-85	-1.551226056818234422e-85	-7.596982276816712252e-86	7.205316988325823560e-86
3.997629192518335661e-81	1.821863722217980049e-81	-5.841293544809386626e-82	6.417684883604770410e-83	-5.793981488074003996e-83	-2.789048353488189990e-83	2.499316426732216473e-83
-2.069186180919024756e-79	-9.434338006035562950e-80	3.095306168654846981e-80	-5.906339705937067270e-81	4.389789658544584960e-81	2.446910730193575935e-81	-3.157678339086562003e-81
-9.465965830961356883e-76	-4.314229162743643965e-76	1.387191472803410065e-76	-1.652206518193257577e-77	1.440112703921010362e-77	7.171705116088493638e-78	-6.938818275514352973e-78
-4.652310762374057502e-73	-2.120268001331965329e-73	6.804081537408371719e-74	-7.549386936312791517e-75	6.750732336427051871e-75	3.334807435153914195e-75	-3.037263431660384010e-75
-5.322828053924382019e-71	-2.425459481536995998e-71	7.716792592307089539e-72	-5.656727596197762727e-73	5.985811726971404644e-73	2.861878929198135221e-73	-1.574587226156876986e-73
7.184537615758861804e-68	3.274570800881531064e-68	-1.055017875331324652e-68	1.344730980307893675e-69	-1.145040238873026326e-69	-5.756430112818842177e-70	5.872427701951011295e-70
5.299891609604551489e-65	2.415466828164625580e-65	-7.761517545241499050e-66	8.919159358254339703e-67	-7.847925928864006667e-67	-3.951600616493015540e-67	3.725057031628077121e-67
1.450079723755215453e-62	6.608482671852639776e-63	-2.116856474983642234e-63	2.083112062820300759e-64	-1.925874206348787415e-64	-9.872574793502146874e-65	8.166331123873193341e-65
-3.580332769249710184e-60	-1.632001949758814649e-60	5.286119225335203486e-61	-8.318292537241896229e-62	6.727365328453628253e-62	3.276498447364401157e-62	-3.819696337490284397e-62
-5.330637012033812160e-57	-2.429546520738473525e-57	7.817523227820199396e-58	-9.490555843528231967e-59	8.205564080463141463e-59	4.140739477120598263e-59	-4.075408084302110838e-59
-2.187458414508097686e-54	-9.969388694559404823e-55	3.200053952445445425e-55	-3.402662710093933896e-56	3.049608282128191658e-56	1.591310156455664977e-56	-1.419802099152685631e-56
1.420968124372085647e-53	6.499468580948454854e-54	-2.551981906695889968e-54	3.342672540230807859e-54	-2.243339290674071260e-54	-7.529764217123765777e-55	1.649245553216132088e-54
5.123831184554833758e-49	2.335339486611076791e-49	-7.523473592188123236e-50	9.764474741430303347e-51	-8.315450148682372625e-51	-4.120239431433248539e-51	4.241645728778112325e-51
2.627978681593286945e-46	1.197734785887488119e-46	-3.848584365356023653e-47	4.268679662909854403e-48	-3.771390748069220026e-48	-1.981164909423660357e-48	1.832088664051714657e-48
1.093054294463388015e-44	4.979771007370605095e-45	-1.552610699753147065e-45	-2.076965385717610023e-46	1.049249873096839732e-46	-2.121094385562337684e-47	-9.332028692596934570e-47
-5.652985717078672641e-41	-2.576527549938290869e-41	8.303902026438160449e-42	-1.121624377059761232e-42	9.499998771156928400e-43	4.598579268559605057e-43	-4.848198231991516385e-43
-2.714508785184326140e-38	-1.237183814945960573e-38	3.975958297610267113e-39	-4.381982408587301830e-40	3.872173791706475607e-40	2.076163236492313224e-40	-1.916703503686397950e-40
2.727320038172872755e-36	1.243193706949430671e-36	-4.053495135625238847e-37	1.004615284396689349e-37	-7.820316380457235117e-38	-2.715272593439393444e-38	4.105356106215350870e-38
7.417131316348812001e-33	3.380561285481703778e-33	-1.088783248942963172e-33	1.427758209392017400e-34	-1.219423807104673280e-34	-5.955172645006477202e-35	6.149826700944033067e-35
1.450924970293981691e-30	6.612805160854512074e-31	-2.118935074533248026e-31	1.614495512936638827e-32	-1.558933855103098894e-32	-1.080017752276415804e-32	7.970489205386343240e-33
-1.488334310471694910e-27	-6.783512163747283019e-28	2.187692755335302208e-28	-3.237016586707625347e-29	2.713065995545504412e-29	1.212228076422885266e-29	-1.350934918231073339e-29
-5.317271975840589560e-25	-2.423490693328784497e-25	7.787364517010614713e-26	-8.196087288990639335e-27	7.326733477279308344e-27	4.204043137573119471e-27	-3.785859186067864579e-27
3.620645704120651226e-22	1.650195167568749648e-22	-5.322860311316461235e-23	8.187183731032775864e-24	-6.828276745895156981e-24	-2.904440030394308873e-24	3.323221755643896671e-24
8.244348649543238580e-20	3.757696956677432011e-20	-1.206292797238051578e-20	1.098198140527786091e-21	-1.019232602076796579e-21	-6.712683595603714956e-22	5.595299377491912668e-22
-1.171587896482272359e-16	-5.339758131506908733e-17	1.720850778944216648e-17	-2.496286527088282092e-18	2.102997815199177633e-18	9.247596619912345125e-19	-1.018409064434445457e-18
4.498870140076923373e-14	2.050373581701315540e-14	-6.615050811836624313e-15	1.073486561820325376e-15	-8.859981930767413652e-16	-3.422541144134651917e-16	4.091253017656106913e-16
-9.814591138486269837e-12	-4.472715741205542470e-12	1.444329396355061774e-12	-2.552700528045469411e-13	2.070009860162835665e-13	7.054813887217170448e-14	-9.075957066822064495e-14
