# #DistanceElevation	#DistanceHeightInc	#DistanceHeightDec	#DistanceHeadwind	#DistanceTailwind	#DistancePressureIncrease	#DistancePressureDecrease
-1.970428395444505106e-140	-3.307307805316812422e-141	2.960892230519591266e-141	2.141678962274150488e-143	-1.899792800442905349e-142	1.915056915607855288e-142	-3.069272477249354309e-142
3.630954120347512497e-136	6.092949045159969393e-137	-5.454344577951360137e-137	-1.356419187310803377e-139	3.475365774401945216e-138	-3.578814968118972029e-138	5.750419478189126681e-138
-1.178812642094393622e-132	-1.976690315017464680e-133	1.769248261337597220e-133	-2.093980159354494874e-135	-1.102133366526253536e-134	1.208695376639678573e-134	-1.955707720978368783e-134
-8.853759936087795618e-129	-1.485796008878920118e-129	1.330028216762762304e-129	5.426835401968342359e-132	-8.504410275807230669e-131	8.700855403314788650e-131	-1.397054563983142272e-130
4.668715299854260499e-126	7.776920725140203578e-127	-6.954103116478514120e-127	1.024792297113729649e-127	3.361580301570042193e-128	-6.478050929957828869e-128	1.095704939478761898e-127
2.604411047917155912e-121	4.367850215173427487e-122	-3.909479593987935266e-122	3.230101379595780239e-124	2.452229136355840869e-123	-2.649482434950798086e-123	4.279618502713605699e-123
1.195361954010157843e-117	2.006498899865862154e-118	-1.796093630031202942e-118	-1.807568715017174818e-120	1.161675285041647397e-119	-1.158823875272528789e-119	1.855093089289834398e-119
-7.957202473343229105e-115	-1.322389653715233770e-115	1.182565962882851404e-115	-2.344264542087355863e-116	-5.036905452240666618e-117	1.202616855963654658e-116	-2.055986065224752374e-116
-4.053020809318514275e-110	-6.794583540510528634e-111	6.081226794634211311e-111	-9.688316588392204568e-113	-3.769115801036467579e-112	4.211746599172833872e-112	-6.825932162308373182e-112
-2.355092464247850856e-106	-3.951842831711918436e-107	3.537169654423060040e-107	1.455700052246996229e-109	-2.269932211176330384e-108	2.327316801585803334e-108	-3.736467574723975919e-108
-3.106017354601042437e-103	-5.234485738531204929e-104	4.686336344974031486e-104	4.525012340002589617e-105	-3.484713899664722311e-105	2.339975571912791092e-105	-3.529238277549717006e-105
5.231067968072446126e-99	8.760972017533005381e-100	-7.840778617236819030e-100	2.841120318786025250e-101	4.687686100704582897e-101	-5.710075836045729624e-101	9.332910653226746190e-101
4.548938868204652703e-95	7.628582829974316865e-96	-6.827719406535947102e-96	5.096814244487500825e-98	4.302218209779490781e-97	-4.641751688104393703e-97	7.492581422118333672e-97
1.463977886800299398e-91	2.459090258944575972e-92	-2.201022198454715303e-92	-6.344867871296121943e-94	1.478439281861491945e-93	-1.365369573953981498e-93	2.162463049837827994e-93
-4.492408139674590613e-88	-7.503277365242836930e-89	6.714921331566951431e-89	-6.567723324718817953e-90	-3.537310789012286088e-90	5.562888610285864273e-90	-9.295297655912885999e-90
-7.763221967845773417e-84	-1.300979735353300244e-84	1.164368782114231390e-84	-2.588055405509451957e-86	-7.148538013599385712e-86	8.213713304607719798e-86	-1.334733678114720384e-85
-3.755277865824702420e-80	-6.301460628443427501e-81	5.639800886382557327e-81	4.740407025565273592e-83	-3.667579813652042495e-82	3.707655944809814709e-82	-5.936663143869142003e-82
5.625707695676748056e-78	8.831580272100525462e-79	-7.904465437206920876e-79	1.275499086926500188e-78	-1.022629466383437732e-79	-2.503438898566687357e-79	4.718910007188940394e-79
1.265533036450857871e-72	2.119355937431043961e-73	-1.896796358102537591e-73	7.212588468503144154e-75	1.128911686426505974e-74	-1.384982584800484935e-74	2.266681573587859772e-74
7.642308813960728585e-69	1.281710110553319020e-69	-1.147084545708779060e-69	2.487529179132521008e-72	7.333192924391099826e-71	-7.762846002811355878e-71	1.249825439098626934e-70
3.285403992747362460e-66	5.620295316628406834e-67	-5.027404445455341602e-67	-2.476095576827219224e-67	6.332710503811750099e-68	1.978617289481492638e-69	-1.683567990322317758e-68
-2.360480271759445350e-61	-3.951874871281695166e-62	3.536868598334837888e-62	-1.624825042292016083e-63	-2.067923578512000560e-63	2.619312093900084523e-63	-4.303488607161274478e-63
-1.331838840800130235e-57	-2.233511024943872147e-58	1.998780446113163489e-58	-2.763004271117846906e-61	-1.283136525118645520e-59	1.356296102804788270e-59	-2.184101985129628516e-59
1.701119464381750919e-54	2.828820146267440387e-55	-2.532933348188525215e-55	5.895140141673449612e-56	8.576230741725627014e-57	-2.507303145496947506e-56	4.357597404244493266e-56
5.208178609357713632e-50	8.722500520979358817e-51	-7.806176404887047219e-51	2.912094902133504010e-52	4.646253532888274438e-52	-5.678596325672842527e-52	9.302453953557543966e-52
1.183093073081963101e-46	1.987870298509161071e-47	-1.778273071204090956e-47	-1.037942347972465169e-48	1.289240089640946703e-48	-1.077975239471298432e-48	1.682682489595727821e-48
-1.490411319693651996e-42	-2.493910774716614526e-43	2.232203137940050049e-43	-1.444533354097754069e-44	-1.243255708652617886e-44	1.697119995521204814e-44	-2.810765787724720390e-44
-6.223747973706567506e-39	-1.043860800483263275e-39	9.338475207267070326e-40	8.184220751739235475e-42	-6.157952009448858552e-41	6.274069177146199454e-41	-1.008777317211560831e-40
