# #DistanceElevation	#DistanceHeightInc	#DistanceHeightDec	#DistanceHeadwind	#DistanceTailwind	#DistancePressureIncrease	#DistancePressureDecrease
-1.114047587428451160e-133	-1.988891248911646699e-134	1.796659196413306280e-134	-3.347880680558469461e-136	-7.417393649163256729e-136	1.269038885921413998e-135	-6.669137700120213295e-136
1.389401551050590671e-129	2.482294969511649272e-130	-2.240311562127822227e-130	5.214015358710469559e-132	9.101675288696040308e-132	-1.572253854366291968e-131	8.241637889188017186e-132
-3.049410104361490425e-126	-5.460449458198171173e-127	4.914194573179331017e-127	-1.818936414113473369e-128	-1.906423936764141252e-128	3.374583923986207824e-128	-1.754125805951314648e-128
-1.554073414805097909e-122	-2.775727510868515464e-123	2.505958096534740189e-123	-5.512816326883841971e-125	-1.019654656770563719e-124	1.765205135231192204e-124	-9.266943221488125043e-125
5.454504611165429392e-120	9.982458555939145953e-121	-8.743016755234499590e-121	1.462106633368460014e-121	1.935367483540714690e-122	-4.662411084828759327e-122	2.155197755438842477e-122
2.093372405503549139e-115	3.746409197098628727e-116	-3.373898159202552615e-116	1.143490959563780381e-117	1.318189456711937194e-117	-2.332302136580343842e-117	1.216144473493395855e-117
6.520456531970156774e-112	1.163465408198905156e-112	-1.051644178097063673e-112	1.767511431780978075e-114	4.327206963050160961e-114	-7.493553049981209713e-114	3.952605036430835161e-114
-2.872540497317611610e-109	-5.302338944863956071e-110	4.594917363627391418e-110	-9.891855232763526119e-111	-7.670799211977613093e-112	2.140834819845452618e-111	-9.122361819746040250e-112
-1.010882238422518787e-104	-1.811456890912471499e-105	1.628695740404238428e-105	-6.739294341457050863e-107	-6.189892381321617564e-107	1.112159901774066906e-106	-5.776952097181227020e-107
-3.987083201421017018e-101	-7.121305396353559014e-102	6.428728415155386845e-102	-1.470481925193187741e-103	-2.581880227234418044e-103	4.544607768382594548e-103	-2.392628072538411245e-103
-3.597553693658246230e-98	-6.328346337341300359e-99	5.821009296844034759e-99	3.571503722655913671e-100	-2.905749553883970010e-100	4.761499288268739084e-100	-2.635007200836676515e-100
4.043884688409421251e-94	7.271193094566607714e-95	-6.509975612310463021e-95	3.932113269756086863e-96	2.322517553274965035e-96	-4.284485287975137942e-96	2.194785321260550089e-96
2.388990573066269976e-90	4.275373952808509347e-91	-3.850022197959528832e-91	1.310538634492295553e-92	1.486879779482322463e-92	-2.670724096485387784e-92	1.397996938846822202e-92
5.226973700678549943e-87	9.298736914416599588e-88	-8.434803317405605257e-88	1.131551907302721956e-90	3.551744174633546782e-89	-6.234878881892540249e-89	3.345465004345401450e-89
-1.072323614867340386e-83	-1.947830135398375014e-84	1.722259029519113851e-84	-2.008818433857902377e-85	-5.111949802709603325e-86	9.967380724681467536e-86	-4.801689241753290222e-86
-1.264423604043745123e-79	-2.268546337323485114e-80	2.036444902209294804e-80	-9.737538354716696701e-82	-7.521619363129643197e-82	1.375314353366419495e-81	-7.129783087459103360e-82
-4.155365180268278882e-76	-7.418321839838673061e-77	6.699602376486643987e-77	-1.383469031320622028e-78	-2.651138647041720072e-78	4.789547663459152014e-78	-2.544397096431331980e-78
3.590372413252214836e-74	8.267987732306438726e-75	-5.434441368919283621e-75	9.197301013782454071e-75	-6.489171998175750311e-76	9.525541735335477858e-76	-8.036676964130316310e-76
6.394212433818149783e-69	1.150261012605299468e-69	-1.029212939164266995e-69	6.383422226237697127e-71	3.650690032894517701e-71	-6.735553744174585979e-71	3.443441926236436086e-71
2.624120472238570278e-65	4.693652823237102297e-66	-4.228614713429367224e-66	1.304440541736031015e-67	1.612671700622396251e-67	-2.968326658170098078e-67	1.568743382005286063e-67
7.991413867715164590e-63	1.320230402707571629e-63	-1.306685214097622303e-63	-4.917491280825527781e-64	9.216993507013047477e-65	-1.748846542403813191e-64	1.129212931464060835e-64
-3.703298821022313723e-58	-6.670546432921140621e-59	5.959320079950623246e-59	-4.096173086035887749e-60	-2.084528012669342469e-60	3.832184536447653740e-60	-1.939773689526758603e-60
-1.420794175344113635e-54	-2.541675440319619642e-55	2.289120666514952663e-55	-7.140525996376793628e-57	-8.593941143566446725e-57	1.610686423875438564e-56	-8.542787789288185870e-57
1.205607492950886687e-51	2.233564577374481506e-52	-1.930918170632101677e-52	4.364360671837349396e-53	4.977396980621998969e-54	-7.352412326493299536e-54	2.234237932070821485e-54
