# #DistanceElevation	#DistanceHeightInc	#DistanceHeightDec	#DistanceHeadwind	#DistanceTailwind	#DistancePressureIncrease	#DistancePressureDecrease
-9.235011748010345267e-120	-2.000837735195487230e-120	1.514021804135643229e-120	-3.005404334047426379e-121	3.102609350467915881e-122	-8.808567006206584674e-122	-6.621804897961046773e-122
5.147792312252277000e-116	1.117608687390589665e-116	-8.442910404588502211e-117	1.799018917364361291e-117	-1.894015968717511519e-118	4.924620200304165874e-118	3.759565333678056072e-118
-5.045270150029963286e-113	-1.101564095653609250e-113	8.285300444499683196e-114	-2.123786803536324870e-114	2.299506929532049732e-115	-4.877075185023786986e-115	-3.851428951907494197e-115
-1.151390186904680634e-109	-2.499273500584408146e-110	1.888103695370914289e-110	-3.945076573032440414e-111	4.211229885378370227e-112	-1.098724699298649116e-111	-8.428551879879336918e-112
1.779824776360502904e-107	4.085048164958741301e-108	-2.959620753724428740e-108	1.967855671937060649e-108	-2.229259937304544285e-109	1.910345006149767495e-109	1.849841669791069452e-109
3.097799800717152760e-103	6.757536729001442677e-104	-5.085616015585155189e-104	1.252814900451854266e-104	-1.372289664434013477e-105	2.982143366918804488e-105	2.356415125575180407e-105
4.322172871290323388e-100	9.368881939232097999e-101	-7.083798884807437397e-101	1.362586965785540493e-101	-1.493060200591636972e-102	4.094320945766855471e-102	3.152996290181074823e-102
-8.353160682871920001e-98	-1.946422893909487548e-98	1.396086151086270933e-98	-1.136661586569227985e-98	1.255841608589790106e-99	-9.400415597792153889e-100	-9.177284562787224024e-100
-1.336673656771138336e-93	-2.924922680683443700e-94	2.196026524059565873e-94	-5.924532482870610335e-95	6.591868067046660258e-96	-1.293598412794440068e-95	-1.040373946884821366e-95
-2.361596235502645745e-90	-5.134075806076763341e-91	3.872731891595864767e-91	-8.180679233421607078e-92	9.272316079334194384e-93	-2.242799083795925462e-92	-1.768261918046029524e-92
-9.602660412516125932e-88	-2.026648031604016853e-88	1.561430068440672127e-88	8.841816279149912454e-90	-5.546406066952151336e-91	-8.315841838994006064e-90	-5.963302887467990774e-90
4.773150160452493469e-84	1.051552179065217493e-84	-7.857128821429897235e-85	2.590231110861919140e-85	-2.868231352056699856e-86	4.705928837970579255e-86	3.862039001782539916e-86
1.263972309012495273e-80	2.760119042403455199e-81	-2.075116857522286161e-81	5.110270530846768035e-82	-5.871067058254539494e-83	1.211185982424234696e-82	9.761360087302092146e-83
1.240034706249895490e-77	2.679494980477312514e-78	-2.029071592581075602e-78	2.887129992206253294e-79	-3.773966200305703108e-80	1.142954095172493428e-79	9.086794585846196978e-80
-1.126096460498487731e-74	-2.524491874497169211e-75	1.864435548415701250e-75	-9.452349339100884718e-76	9.861482172357637425e-77	-1.183352147701147263e-76	-9.823412725609874120e-77
-5.974761663287694204e-71	-1.310904623402388736e-71	9.823188206941782003e-72	-2.845101354659512570e-72	3.235199285374074696e-73	-5.808195777104013506e-73	-4.734770409395544174e-73
-8.801008930433385058e-68	-1.915538979726831991e-68	1.443009172154271403e-68	-2.931062288702913472e-69	3.706606547423385440e-70	-8.261815312218460440e-70	-6.752482974473614411e-70
2.963446812753405333e-66	9.804552433906629585e-67	-5.748836268525018030e-67	2.909087078612766263e-66	-2.425083512441846293e-67	9.526273069893073693e-68	6.729454422909711628e-68
2.698939585334096580e-61	5.945832345094091784e-62	-4.443972890615471676e-62	1.486778862806474817e-62	-1.637934546101841575e-63	2.672276881261355363e-63	2.170619467729346313e-63
4.965008952037254445e-58	1.084669214993019045e-58	-8.149646811370602804e-59	1.914969732637336272e-59	-2.412621675798532963e-60	4.707185470516168449e-60	3.895181140642969894e-60
6.980622228769664835e-56	1.369703411732827108e-56	-1.099971432897487880e-56	-1.212065084571555386e-56	6.602475417404759656e-58	2.663415812397780481e-58	4.185492176573505192e-58
-1.397255199513297382e-51	-3.082154132538378175e-52	2.302249931655352541e-52	-8.194719236645141772e-53	8.761950997350514167e-54	-1.399307022936332314e-53	-1.121950864274566586e-53
-2.403801837846502740e-48	-5.255711057695353348e-49	3.946154562734205519e-49	-9.281855788878753065e-50	1.229246046159659765e-50	-2.272134157758801674e-50	-1.906764388670804243e-50
