5.872695163906615790e+02	1.520000000000000000e+03	5.808198334603961257e+02	5.935309997787159091e+02	6.784698669856663855e+01	4.108600000010516595e+01	5.857332290412387010e+02	5.888161385361624980e+02
5.945153429898958848e+02	1.519000000000000000e+03	5.879859202838176770e+02	6.008571407165813980e+02	6.783658890607723890e+01	4.108275000010515043e+01	5.929598698247559696e+02	5.960812815343700777e+02
6.017612857495379330e+02	1.518000000000000000e+03	5.951491914012189000e+02	6.081775366509938294e+02	6.782606358952611458e+01	4.107975000010513611e+01	6.001836618263363334e+02	6.033465511438507747e+02
6.090014352757524421e+02	1.517000000000000000e+03	6.023096315919518702e+02	6.154950360550672031e+02	6.781541080437195035e+01	4.107650000010512059e+01	6.074045894728735675e+02	6.106060176170242357e+02
6.162356688858952793e+02	1.516000000000000000e+03	6.094672257362796017e+02	6.228096231368983808e+02	6.780463060960809685e+01	4.107300000010510388e+01	6.146226372949157621e+02	6.178595579053637721e+02
6.234700080180358555e+02	1.515000000000000000e+03	6.166188558527292116e+02	6.301212822092560373e+02	6.779372306442637353e+01	4.106975000010508836e+01	6.218377899257931176e+02	6.251132143228613813e+02
6.307014368889858815e+02	1.514000000000000000e+03	6.237706768878131243e+02	6.374299976884445869e+02	6.778268822820069772e+01	4.106650000010507284e+01	6.290469351056804044e+02	6.323639607255000783e+02
6.379267969892764540e+02	1.513000000000000000e+03	6.309164320569503843e+02	6.447326421347665928e+02	6.777152616048462619e+01	4.106300000010505613e+01	6.362562161038327986e+02	6.396086277407439411e+02
6.451491452719648123e+02	1.512000000000000000e+03	6.380592096411184002e+02	6.520353887764148340e+02	6.776023692102414486e+01	4.105950000010503942e+01	6.434593883269398020e+02	6.468502829514324048e+02
6.523684668247082072e+02	1.511000000000000000e+03	6.451989950558750024e+02	6.593319631246340577e+02	6.774882056973743261e+01	4.105600000010502271e+01	6.506595338494784073e+02	6.540889114533771362e+02
6.595847468325050613e+02	1.510000000000000000e+03	6.523324906600952318e+02	6.666254620041690941e+02	6.773727716859633574e+01	4.105250000010500600e+01	6.578566378491212845e+02	6.613244984393076038e+02
6.667979705767116911e+02	1.509000000000000000e+03	6.594662123706971215e+02	6.739158703800175090e+02	6.772560678283825553e+01	4.104900000010498928e+01	6.650506856002436962e+02	6.685570291979304329e+02
6.740048018277663004e+02	1.508000000000000000e+03	6.665935436081841772e+02	6.811998848949651801e+02	6.771380946844834625e+01	4.104525000010497138e+01	6.722383522930550726e+02	6.757831560073261699e+02
6.812118336691103195e+02	1.507000000000000000e+03	6.737211444678083581e+02	6.884840323028120110e+02	6.770188529648802955e+01	4.104175000010495467e+01	6.794262082766184676e+02	6.830094948304757736e+02
6.884123728695187765e+02	1.506000000000000000e+03	6.808422546244651130e+02	6.957650446996616438e+02	6.768983432422490409e+01	4.103800000010493676e+01	6.866075832914801822e+02	6.902293293183804508e+02
6.956097267405970115e+02	1.505000000000000000e+03	6.879602152300614080e+02	7.030395133127946110e+02	6.767765661671589328e+01	4.103425000010491885e+01	6.937857732172965370e+02	6.974459782875483143e+02
7.028038810796573443e+02	1.504000000000000000e+03	6.950715134631886940e+02	7.103107472987501296e+02	6.766535224237969715e+01	4.103050000010490095e+01	7.009607638464576667e+02	7.046594275406758925e+02
7.099948217751724542e+02	1.503000000000000000e+03	7.021830974749042298e+02	7.175787322425646835e+02	6.765292126428336417e+01	4.102675000010488304e+01	7.081325410627601968e+02	7.118696629710952948e+02
7.171825348057124074e+02	1.502000000000000000e+03	7.092879197981334300e+02	7.248434538215636849e+02	6.764036374775517402e+01	4.102300000010486514e+01	7.152975679578973995e+02	7.190731232528870578e+02
7.243634356643133287e+02	1.501000000000000000e+03	7.163930724263067304e+02	7.321013629136066356e+02	6.762767975927296504e+01	4.101900000010484604e+01	7.224628409679226024e+02	7.262768534329969725e+02
7.315410100634294395e+02	1.500000000000000000e+03	7.234913644650682727e+02	7.393594800128826137e+02	6.761486936547963467e+01	4.101500000010482694e+01	7.296212651042693551e+02	7.334737094269252111e+02
7.387188858904588642e+02	1.499000000000000000e+03	7.305863532577114938e+02	7.466106861560562038e+02	6.760193263753546944e+01	4.101125000010480903e+01	7.367763495402961098e+02	7.406672248411740611e+02
7.458898018239781322e+02	1.498000000000000000e+03	7.376780254847298011e+02	7.538621426378005026e+02	6.758886963985773377e+01	4.100725000010478993e+01	7.439280806543707740e+02	7.478573860599633463e+02
7.530536378785631086e+02	1.497000000000000000e+03	7.447626178710489739e+02	7.611065901169089329e+02	6.757568043939440372e+01	4.100300000010476964e+01	7.510764449116207970e+02	7.550441795535326719e+02
7.602177702471849443e+02	1.496000000000000000e+03	7.518475815367801260e+02	7.683439095155652012e+02	6.756236511086561336e+01	4.099900000010475054e+01	7.582214288630922283e+02	7.622275918773058265e+02
7.673785084899773210e+02	1.495000000000000000e+03	7.589253675428044517e+02	7.755814731580893522e+02	6.754892371781305371e+01	4.099500000010473144e+01	7.653630191448706910e+02	7.694038130937858568e+02
7.745320204655549787e+02	1.494000000000000000e+03	7.659997129930625306e+02	7.828155920515289381e+02	6.753535633667048899e+01	4.099075000010471115e+01	7.724973967864224278e+02	7.765803875391553674e+02
7.816820410262790801e+02	1.493000000000000000e+03	7.730706050334443944e+02	7.900424369841549606e+02	6.752166303257048696e+01	4.098650000010469086e+01	7.796282837162862052e+02	7.837496733400517996e+02
7.888285571114060986e+02	1.492000000000000000e+03	7.801380308905542051e+02	7.972695910014152787e+02	6.750784387822378108e+01	4.098225000010467056e+01	7.867556668731000400e+02	7.909154540140378913e+02
