# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-4.639708125604880445e-35	1.450986105602862783e-36	5.845497847695739856e-25	-2.516480158629440001e-25	1.353111365543673400e-36	-4.175805128531379912e-38	-1.398482790987967824e-36	4.461284798005608029e-38
5.001086721489412934e-30	-1.178342546739527061e-31	-4.622210254789258936e-21	1.938504597157691500e-21	-1.458410602892861649e-31	3.390378058933442034e-33	1.507480969934891416e-31	-3.626229068176170109e-33
-2.392837670204129558e-25	4.083267514485822420e-27	1.587533993094104513e-17	-6.462028826628239838e-18	6.977547111504157908e-27	-1.174946203793908589e-28	-7.213207127325344788e-27	1.257681920986222187e-28
6.688574958447096465e-21	-7.875983507839969145e-23	-3.105941989653245396e-14	1.221731894697408466e-14	-1.950286113502083335e-22	2.267491712366860619e-24	2.016431512124760827e-22	-2.427768274817979226e-24
-1.208931553113958679e-16	9.249998994904744904e-19	3.815337805174031897e-11	-1.443089514905459260e-11	3.524863491430951157e-18	-2.666313572555190244e-20	-3.644964940644868661e-18	2.852864476418232366e-20
1.475603649369072006e-12	-6.798662068037274171e-15	-3.058738152907901368e-08	1.106557542199357603e-08	-4.302159794332115683e-14	1.964184599581253412e-16	4.449486863498643772e-14	-2.096902640664426166e-16
-1.231207242910478123e-08	3.094795303511336598e-11	1.611819918341870470e-05	-5.551329537217970801e-06	3.589421342075789141e-10	-8.977461767397650988e-13	-3.713010219801048928e-10	9.536750350656940876e-13
6.931350335880552939e-05	-8.324625876227427705e-08	-5.485233690612448254e-03	1.796709275900214417e-03	-2.020634958447197974e-06	2.439718326697896373e-09	2.090609157899366471e-06	-2.566698372939595392e-09
-2.518931170590929525e-01	1.204831083946383087e-04	1.151504467625776407e+00	-3.627356808417522838e-01	7.342811727491894286e-03	-3.945102186809458378e-06	-7.598609539917419026e-03	4.072743635074192446e-06
5.334397490109201954e+02	-6.399522089833331595e-02	-1.359504256858502629e+02	4.320014305680530953e+01	-1.555585833571245225e+01	2.278660795123131893e-03	1.610091864933122352e+01	-2.325990612978199451e-03
-4.983215505462336587e+05	1.286261799531024685e+01	7.264292857476206336e+03	-2.706871506098202190e+03	1.457147712839553424e+04	-3.824152994053020005e-01	-1.508522393697149346e+04	4.289978104036538675e-01
