# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-5.946836501357507034e-36	2.218617595125869993e-37	6.957999592688098393e-25	-4.714143757655920168e-25	2.130524623414913577e-37	-8.318929146191744179e-39	-2.172988825145718641e-37	7.936800925113092667e-39
7.757062254274049303e-31	-2.203501139369643992e-32	-5.453402419538149947e-21	3.606116532881320254e-21	-2.779224251798780972e-32	8.306374354185561878e-34	2.834291312093034032e-32	-7.860407491854405787e-34
-4.489253064578547185e-26	9.343517852817690994e-28	1.853713390207628468e-17	-1.191764950850227057e-17	1.608531315823694479e-27	-3.544918415145048991e-29	-1.640197082578778562e-27	3.321667657019947100e-29
1.517031595431803309e-21	-2.206816902643135297e-23	-3.582543047349523555e-14	2.228734775864305508e-14	-5.436039430169705003e-23	8.438902850578324269e-25	5.542304800655865702e-23	-7.812708425276925186e-25
-3.312964667829349399e-17	3.176451383875152471e-19	4.336684685709210616e-11	-2.595519633418300233e-11	1.187246049214950724e-18	-1.226595722772526731e-20	-1.210279818407423945e-18	1.118825002356663197e-20
4.882864973196258661e-13	-2.864598313350337973e-15	-3.415320542767470792e-08	1.952782534232086644e-08	-1.749999455783874414e-14	1.119771968340491300e-16	1.783679331161345195e-14	-1.002730008592419684e-16
-4.916372210672171280e-09	1.602513007432165297e-11	1.760691764719421121e-05	-9.540177465809566605e-06	1.762180260970353923e-10	-6.362313736928914500e-13	-1.795810460979112605e-10	5.568780133736625789e-13
3.337668348456605003e-05	-5.309867250766209563e-08	-5.830146815312129034e-03	2.969991587336672303e-03	-1.196448113554761510e-06	2.158081480713476399e-09	1.219085176858733348e-06	-1.838185064021356286e-09
-1.461650679334236813e-01	9.495924410669019395e-05	1.182410947742223550e+00	-5.645794881423029654e-01	5.240112812901619177e-03	-4.327575943307585143e-06	-5.338398292210974443e-03	3.639743398390210448e-06
3.727258266791898222e+02	-6.697397095497391317e-02	-1.336576248957003372e+02	6.094958422900315043e+01	-1.337134052980412235e+01	3.190335096054298068e-03	1.361997162562177266e+01	-2.550636975442767147e-03
-4.187079521423465922e+05	1.610284566057061895e+01	6.770968108927338108e+03	-3.248963310438815370e+03	1.507169736781948450e+04	-7.159834344697999509e-01	-1.534967626126872528e+04	5.567462901152735455e-01
