# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-3.545968284915289115e-26	6.905307245125656997e-28	4.484650424890012861e-25	1.290791462260581458e-27	3.579766300881872022e-29	-4.020633907375876328e-31	-4.093482049742051570e-29	8.296725336066306120e-31
5.067016701856208394e-22	-7.226037484402536281e-24	-4.029996772552051588e-21	-1.013954261194955870e-23	-5.102322261633510716e-25	4.092964298850422766e-27	5.867261588102762952e-25	-8.630078496467211043e-27
-3.217481638030565379e-18	3.221168313469050177e-20	1.599594787484864201e-17	3.441840754447320950e-20	3.231941986379584139e-21	-1.783187627763657979e-23	-3.736930462704540739e-21	3.812808469099269243e-23
1.194983579291223475e-14	-7.975987585743368580e-17	-3.689054333027355438e-14	-6.584613407339969703e-17	-1.197544304584751502e-17	4.350084551617739880e-20	1.392065299889377052e-17	-9.318835286623696386e-20
-2.873464137409084653e-11	1.199402401413195961e-13	5.468474871532821581e-11	7.722432849985335843e-14	2.873315788109293884e-14	-6.529640339426421281e-17	-3.357195244030246614e-14	1.375264802065136836e-16
4.672384811345808456e-08	-1.124956639873836510e-10	-5.438769528718666214e-08	-5.561851450418836727e-11	-4.662799005068335412e-11	6.239399701747165931e-14	5.474544215676599395e-11	-1.255435493500289929e-13
-5.201046552266911749e-05	6.505687284087539861e-08	3.672365664010232567e-05	2.156741852830310290e-08	5.181197285472744617e-08	-3.791038595570674456e-11	-6.110752806566259171e-08	6.979949356596711332e-11
3.912256885947193452e-02	-2.208953378978741419e-05	-1.661433076171153073e-02	-4.647568044358717603e-07	-3.891513547353916161e-05	1.413182382690706086e-08	4.608638641781870809e-05	-2.237283174292782384e-08
-1.902666831055033470e+01	3.989321788887429006e-03	4.820637728969476399e+00	-4.278655773975163605e-03	1.890363060726262673e-02	-3.333109172204006754e-06	-2.246906018451673773e-02	4.095926034834540300e-06
5.401132851195732655e+03	-9.801031675214666450e-02	-8.114994178018955608e+02	2.473456255320586994e+00	-5.363137723563477621e+00	2.636634086099189848e-04	6.394351771795493633e+00	-2.543212179609230256e-04
-6.780137495453492738e+05	6.098434011258635046e+00	6.067274935149115481e+04	-6.855244570708074434e+02	6.744338422229817525e+02	-5.628381173131998330e-03	-8.061473486406813436e+02	4.325602750059854944e-03
