# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-1.376104234474993238e-31	5.322743631627437800e-36	-1.021802132467812215e-28	3.954318119060997277e-28	9.904394887264077234e-34	-1.206040129487654110e-37	-1.013747601798062139e-33	1.214119178598045937e-37
3.396339598013917795e-27	2.730531364311299778e-32	1.438578869304937070e-24	-4.448945684284863288e-24	-2.444489322967990484e-29	-6.186904025616616811e-34	2.501944991785405116e-29	6.228348999330280012e-34
-3.570653284160148490e-23	1.400744061236723870e-28	-8.779429324992256552e-21	2.226232019146012909e-20	2.570259090940490374e-25	-3.173839782466619287e-30	-2.630011119744827155e-25	3.195100772747229665e-30
2.085033926002047840e-19	7.185721983401688894e-25	3.080121596699409106e-17	-6.520252015372456710e-17	-1.501252387587422820e-21	-1.628158271578135016e-26	1.535352314288775830e-21	1.639065015320699050e-26
-7.393402829300533875e-16	3.686226617099047946e-21	-6.903025670274040641e-14	1.236337383968274238e-13	5.325552267300321508e-18	-8.352341450733520226e-23	-5.441977561374104324e-18	8.408292306030437685e-23
1.634924756853709959e-12	1.891009240824658722e-17	1.033523360192045246e-10	-1.582480306177018882e-10	-1.178368599265296163e-14	-4.284694487472834129e-19	1.202723811041156029e-14	4.313396896572624405e-19
-2.228548503238832781e-09	9.700749086604971308e-14	-1.044896333252063325e-07	1.379072090596128644e-07	1.607800005089760888e-11	-2.198019197283631147e-15	-1.638608754858018921e-11	2.212743338384957899e-15
1.782457238305375892e-06	4.976418454741591578e-10	6.995638448721689133e-05	-8.006688215346601369e-05	-1.289272755599171259e-08	-1.127568933036560964e-11	1.311774833200249251e-08	1.135122317507461346e-11
-7.567704571582812081e-04	2.552868898638811273e-06	-2.911614525757784053e-02	2.893781251473344363e-02	5.454369400203951760e-06	-5.784352112667859594e-08	-5.540275002436024482e-06	5.823100462451125935e-08
3.845304272605638840e-02	1.309604421916675705e-02	6.346418515039790265e+00	-5.368597689735431722e+00	-4.410963666306906734e-03	-2.967333382733439943e-04	4.451427975625571638e-03	2.987211023236325332e-04
1.593624547838412127e+03	6.718181818181817277e+01	-3.310722876170174800e+02	1.536405685800814069e+02	4.602487719906748348e-02	-1.522221889812168216e+00	-4.662277751486539751e-02	1.532418984505800497e+00
