# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-3.266128475837127342e-33	8.405279213203480374e-34	2.069759574039023644e-25	-4.308183532987489637e-26	4.932503710721170708e-35	-1.278746723297878016e-35	-5.119895279280436729e-35	1.333453984310712374e-35
1.600515262781762337e-28	-3.587661923127045432e-29	-1.779913538573682471e-21	3.593029027983218172e-22	-2.416153740256777303e-30	5.450939238828900894e-31	2.509378603518310247e-30	-5.702332209467809027e-31
-3.428564110219543926e-24	6.532462657187979667e-25	6.667794034462442426e-18	-1.300868375668152457e-18	5.173837791980179636e-26	-9.910262276264841143e-27	-5.376491781765916154e-26	1.040248334346406829e-26
4.216884622594835678e-20	-6.618379178141826700e-21	-1.427981993723021883e-14	2.682893916890331395e-15	-6.361159342276985606e-22	1.002321629372463864e-22	6.613912884886649784e-22	-1.055767045755641064e-22
-3.288427017989498561e-16	4.081076276719246635e-17	1.928787490376784312e-11	-3.478267890336062111e-12	4.958940559832506707e-18	-6.167817206299266826e-19	-5.158605813125845565e-18	6.518684416445626012e-19
1.693887863268585229e-12	-1.573956496847761087e-13	-1.709917457827989729e-08	2.953974552818103522e-09	-2.553630185155402688e-14	2.372464040615019590e-15	2.657670410886159856e-14	-2.514950928310391487e-15
-5.819033358323481492e-09	3.756622184233845892e-10	1.003546427004841394e-05	-1.663938111034584924e-06	8.770391906965497823e-11	-5.641221248211213830e-12	-9.131325837372458168e-11	5.993589000480692041e-12
1.312447704071216584e-05	-5.292161480543225255e-07	-3.837873452382927451e-03	6.177897524278884315e-04	-1.977766338923381226e-07	7.919362078053729632e-09	2.059819515420920124e-07	-8.424945280557397737e-09
-1.854950717827379830e-02	4.005418375508412081e-04	9.151658769289148232e-01	-1.480579441944584185e-01	2.794661816421401012e-04	-6.540355525596239636e-06	-2.911315021380336560e-04	6.935306756609037713e-06
1.474083158773748892e+01	-1.055713367541031289e-01	-1.240984384629433350e+02	2.207134270918767172e+01	-2.281814090876994050e-01	1.881680383317288008e-03	2.375883665503835951e-01	-2.032168824774582393e-03
-3.455456046737510405e+03	1.147848831826800264e+01	7.641822081996093402e+03	-1.853533700560830994e+03	7.615351572021040738e+01	-1.627056424369189847e-01	-7.935392434405433448e+01	1.702034566394227399e-01
