# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-2.438440163566023173e-23	1.166192123802356870e-27	1.195099889697156852e-27	-4.968437256372573896e-28	7.195312655074606651e-27	-6.306601683336882899e-31	-2.829056102832277980e-27	6.101127219653120100e-31
8.867256981218284713e-20	8.829495210167333864e-25	-1.503890143375217163e-23	5.718421773947010637e-24	-2.596092010120392231e-23	-4.774865840621425394e-28	1.019321742544101009e-23	4.619296637582033249e-28
-1.373390411510093744e-16	6.685003617772703508e-22	8.491831848309566781e-20	-2.932559048426885302e-20	3.978369432279340674e-20	-3.615155188280417051e-25	-1.568451141848499665e-20	3.497370347768266923e-25
1.181323159413476334e-13	5.061362207680182228e-19	-2.834360477218012088e-16	8.818473159961533485e-17	-3.376237712813817625e-17	-2.737112930831561642e-22	1.343874257786189258e-17	2.647935456219444735e-22
-6.169369837937781686e-11	3.832067843497796297e-16	6.196133521755892542e-13	-1.720813489398034385e-13	1.735288789404741400e-14	-2.072327965452814110e-19	-7.009140968854562883e-15	2.004809752212338473e-19
2.008895237904930855e-08	2.901342238436722483e-13	-9.277284261558851016e-10	2.275411207651381606e-10	-5.552654648909000099e-12	-1.569004752424692762e-16	2.285182774435830661e-12	1.517885238903876755e-16
-4.031464205220812943e-06	2.196669560227177172e-10	9.646851312901977337e-07	-2.063921221382447820e-07	1.095731591566145876e-09	-1.187927757657490762e-13	-4.607145385355456027e-10	1.149224057763988406e-13
4.746532366194731577e-04	1.663146488857040091e-07	-6.892705356839273030e-04	1.268929970593853627e-04	-1.275523103780517576e-07	-8.994060440112567810e-11	5.493525105173422389e-08	8.701026277172748533e-11
-2.964467427641438724e-02	1.259204521917915395e-04	3.250031450050995252e-01	-5.084783625478936364e-02	7.864740320382545487e-06	-6.809599546685681837e-08	-3.433982769245283941e-06	6.587736983452402099e-08
1.243733621360334496e-01	9.533712385781430154e-02	-9.203052223410769273e+01	1.229901287641818897e+01	-7.586365825175857410e-04	-5.155696506042322280e-05	6.421405372554779816e-04	4.987719514995889300e-05
1.594593325920441657e+03	7.218181818181817277e+01	1.216027729920376441e+04	-1.550636164526028551e+03	1.452738184526582025e-03	-3.903490400599902987e-02	-6.486129780808288017e-04	3.776311352860581977e-02
