# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-2.228277378631219409e-26	1.023229590446818330e-30	1.806976710120194269e-27	-4.259561859576861208e-28	1.913906264931222997e-29	-2.211138266963256159e-33	-1.727359467203934996e-29	2.190644264237182254e-33
1.636791689854872986e-22	1.564312367801084979e-27	-2.182822914608285400e-23	5.051399682695043733e-24	-1.407875673381250134e-25	-3.380385956604774199e-30	1.260213422253644143e-25	3.349054745868239043e-30
-5.120999471464374620e-19	2.391519173118187330e-24	1.180879893074326521e-19	-2.682057689287999947e-20	4.412422250696914668e-22	-5.167930647459895183e-27	-3.913936979099666694e-22	5.120031524026666151e-27
8.898109350058535316e-16	3.656152104346951540e-21	-3.767769373572259778e-16	8.396036593414091514e-17	-7.682940717344959832e-19	-7.900727171337560462e-24	6.747391932848655005e-19	7.827499039652362008e-24
-9.387540842992461781e-13	5.589521656517377302e-18	7.853024014173276003e-13	-1.716324611459991973e-13	8.125891704056270592e-16	-1.207862374596543349e-20	-7.059513215283961349e-16	1.196667265196305972e-20
6.175413954823831228e-10	8.545255081573592555e-15	-1.117574483702158914e-09	2.394852202023816519e-10	-5.361376328124214140e-13	-1.846578782341384890e-17	4.604572820893997874e-13	1.829463710360295787e-17
-2.503721787219561421e-07	1.306397736629509933e-11	1.100421928819702803e-06	-2.312019883277911535e-07	2.181406576900748253e-10	-2.823047783512892822e-14	-1.852149373449466709e-10	2.796882278697759171e-14
5.955639013296406468e-05	1.997219544622915031e-08	-7.411449366060221273e-04	1.528288513383821499e-04	-5.217197286949592014e-08	-4.315872609503255503e-11	4.387841495296054888e-08	4.275870812082406208e-11
-7.516075862643408628e-03	3.053347229240492648e-05	3.275762033611063773e-01	-6.658640056383741124e-02	6.552219650560704099e-06	-6.598101700666936122e-08	-5.478130265370218726e-06	6.536946993039312749e-08
7.557819307813350151e-02	4.667954170291682692e-02	-8.636536215788650850e+01	1.761909867436733990e+01	-1.442703744525661433e-03	-1.008717123774296326e-04	1.388978404846816358e-03	9.993677982285625958e-05
1.594402814450294045e+03	7.136363636363635976e+01	1.055748400405830580e+04	-2.334736882660815809e+03	4.811485427123760733e-03	-1.542125723361674194e-01	-4.116059747682318005e-03	1.527832483879220105e-01
