# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-8.329882896303328493e-32	1.956062415335120174e-32	1.919378167684263879e-25	-9.088042313382961170e-27	8.218957226468782648e-34	-1.894025951848493404e-34	-8.502713074768372586e-34	2.047989544967818882e-34
2.957724411533705869e-27	-6.009187745342434629e-28	-1.680669171773203844e-21	7.887310614885284656e-23	-2.917241589759285366e-29	5.814111336754017082e-30	3.019753713849209453e-29	-6.305241829610164980e-30
-4.592519736636554744e-23	7.871073323146929771e-24	6.427885672887526022e-18	-2.994754819727237152e-19	4.527790639482977596e-25	-7.610519062680443763e-26	-4.689867730571362772e-25	8.277689232414303438e-26
4.095894590886883843e-19	-5.733083359419442765e-20	-1.409983593522491046e-14	6.542877535367724139e-16	-4.036346065645954067e-21	5.540600972398737623e-22	4.183628870651832979e-21	-6.043621038716461631e-22
-2.317262420741828296e-15	2.539495928717875209e-16	1.958316166322683093e-11	-9.106565364039964922e-13	2.282465915606393814e-17	-2.453744580839326426e-18	-2.367400500325270271e-17	2.683681998704779125e-18
8.664700706759085066e-12	-7.028417845035586116e-13	-1.793669758897875467e-08	8.452842358110266506e-10	-8.530222295840227639e-14	6.793079451531517078e-15	8.853957391965877824e-14	-7.446485460078192745e-15
-2.162219190336626439e-08	1.202147623330206374e-09	1.093818219928014604e-05	-5.332171488626856764e-07	2.127544790333750020e-10	-1.163328666170596769e-11	-2.209862208259351821e-10	1.277020094280306943e-11
3.545358635456376728e-05	-1.211255502778966330e-06	-4.375298205888177722e-03	2.291509233225421348e-04	-3.486728488278594757e-07	1.178135771793495778e-08	3.624145404647422342e-07	-1.292308971549192468e-08
-3.646174497290349120e-02	6.538813698686552715e-04	1.098923705313349153e+00	-6.639387938717550286e-02	3.583620418627697429e-04	-7.032205508929292823e-06	-3.727311366797800762e-04	7.610771127347476654e-06
2.111027615091826704e+01	-1.060739648224534870e-01	-1.577840200379612838e+02	1.261520818602622640e+01	-2.122456141891421733e-01	1.520352944829120962e-03	2.207627637322157055e-01	-1.619861483321473339e-03
-3.678368113130929032e+03	9.249768997578826202e+00	1.023682270755857644e+04	-1.421192495480632488e+03	5.182311506438621507e+01	-1.018966280897417448e-01	-5.396469143273398572e+01	9.603168678229222210e-02
