# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-6.409251100827430522e-27	2.851237666332213253e-31	-2.355339053814653274e-28	-3.232711165311855811e-27	6.580323851392322557e-30	-8.052924222242514241e-34	-6.790228597864080502e-30	8.074358040863796420e-34
5.348684551015550033e-23	4.950578057300143711e-28	2.658334133455796231e-24	3.902106477968846778e-23	-5.483807454633034979e-26	-1.398221916835800125e-30	5.650109598971236795e-26	1.401943451290946924e-30
-1.901180051177120386e-19	8.595643706176427587e-25	-1.323804289639127711e-20	-2.107293876187720277e-19	1.946591176728317543e-22	-2.427720011719617495e-27	-2.001707476944851947e-22	2.434181678184916360e-27
3.753029229031395962e-16	1.492453807784712522e-21	3.811245978717310456e-17	6.703961029747617551e-16	-3.837710032227046377e-19	-4.215228201144010258e-24	3.936651857802876767e-19	4.226447533925150274e-24
-4.498352326235053903e-13	2.591333987901998532e-18	-6.965772663719459190e-14	-1.391183220601462023e-12	4.594375762504929094e-16	-7.318862431394683879e-21	-4.698281557809503275e-16	7.338342456977856929e-21
3.361923915097360890e-10	4.499309661599067794e-15	8.312381176980124136e-11	1.967553841262396354e-09	-3.430375936390807998e-13	-1.270767434966932560e-17	3.494478218110853991e-13	1.274149734111842324e-17
-1.548571311374228308e-07	7.812110490376631045e-12	-6.336261105478267783e-08	-1.920670279021732707e-06	1.579537018040400462e-10	-2.206421952741514451e-14	-1.601489522788747670e-10	2.212294608019513362e-14
4.185075162710177269e-05	1.356409647344937761e-08	2.758022192707107733e-05	1.278037567064809268e-03	-4.278283200443215885e-08	-3.830990391775627922e-11	4.313789956583440989e-08	3.841187029783271910e-11
-6.000732563477564896e-03	2.355121748056224757e-05	-3.629481865521699390e-03	-5.551365173107690731e-01	6.094975322753778999e-06	-6.651713813688904454e-08	-6.106256525856552791e-06	6.669418143627773600e-08
7.744603640960755209e-02	4.089176495481600809e-02	-2.289411399234148714e+00	1.424873232247354622e+02	-1.634370333161795901e-03	-1.154931026561841856e-04	1.635132995085899609e-03	1.158005013285204408e-04
1.594231508867901539e+03	7.099999999999997158e+01	9.994925278555589330e+02	-1.660022787798780701e+04	5.922111362372250130e-03	-2.005296249171392431e-01	-5.746266729156918746e-03	2.010633584392797213e-01
