# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-2.136315697031810100e-32	5.246789892353812610e-33	2.041237796530899255e-25	-1.861513539275818968e-26	2.585714732357845590e-34	-6.262972272789935779e-35	-2.580983378546463830e-34	6.201780264011391550e-35
8.682446702283031612e-28	-1.849595775346230952e-28	-1.772655940239005962e-21	1.579670290328262940e-22	-1.050871727722768053e-29	2.212593372767919912e-30	1.048635135740424560e-29	-2.179287761074548489e-30
-1.542923210659677467e-23	2.780512211363089283e-24	6.715725387921059524e-18	-5.841086827186005509e-19	1.867451407344229991e-25	-3.337245851295329728e-26	-1.862883726664111719e-25	3.262766787592615246e-26
1.574679074075195505e-19	-2.324918329897898291e-20	-1.457087500946275410e-14	1.236461056058547587e-15	-1.905907881061716694e-21	2.804439950272957081e-22	1.900584788691796122e-21	-2.713395923738446462e-22
-1.019290594970486479e-15	1.182550570595884971e-16	1.998162963774119034e-11	-1.656545938035349962e-12	1.233737267444740854e-17	-1.437221005956751962e-18	-1.229815444814849129e-17	1.369953279266659783e-18
4.359851713284287204e-12	-3.759610378281985883e-13	-1.803160432362112196e-08	1.467624300621547514e-09	-5.277439161573750069e-14	4.620832551933218942e-15	5.258386262844893735e-14	-4.310365267848258751e-15
-1.244266566264194633e-08	7.390444419467073187e-10	1.080590128495261746e-05	-8.740436875246943383e-07	1.506280943493775154e-10	-9.235510873615866114e-12	-1.500123406579472796e-10	8.348839535615709961e-12
2.332664239523156286e-05	-8.564104282530013244e-07	-4.234849588954617446e-03	3.497363776879116671e-04	-2.824255668298342389e-07	1.098367734535733781e-08	2.811255368148396964e-07	-9.496521375844812612e-09
-2.742044508851645274e-02	5.322491464157585788e-04	1.038697677316317014e+00	-9.278556637757699732e-02	3.320009201636783184e-04	-7.661960422508827385e-06	-3.302951355987912368e-04	6.365242429487426933e-06
1.813792736965156394e+01	-1.062291437239667458e-01	-1.452373891987463992e+02	1.585371631548980709e+01	-2.250345460888927007e-01	1.938983358167127493e-03	2.238332029946879242e-01	-1.490762405045522156e-03
-3.580385608632268486e+03	1.008499986590320319e+01	9.185056692282816584e+03	-1.582039842744833550e+03	6.273295222152646744e+01	-1.348748113948022576e-01	-6.234830918224244556e+01	1.091908624159935587e-01
