# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-4.460698349816863205e-25	2.066958118292218120e-29	-8.384749985340538198e-28	-1.286678371527478796e-27	1.918907686916601942e-28	-2.448746201124040709e-32	-2.572613036852011926e-28	2.453021401987876432e-32
2.427102562183311279e-21	2.340814187162654735e-26	9.747257098808877227e-24	1.543833606990666246e-23	-1.032660157798784094e-24	-2.773186257439896256e-29	1.413143285921106895e-24	2.778027889569000586e-29
-5.624752346423568651e-18	2.650954080941517910e-23	-5.039728255247901017e-20	-8.289122199701755464e-20	2.361646418512134737e-21	-3.140612128330539931e-26	-3.307373223576025616e-21	3.146095239515295961e-26
7.239234228746108671e-15	3.002185127636603862e-20	1.523719101739035485e-16	2.622447216812066406e-16	-2.991240799126100694e-18	-3.556719103938750013e-23	4.299654406931998654e-18	3.562928685225124276e-23
-5.656977213619722245e-12	3.399951589278866912e-17	-2.976225258575177963e-13	-5.413715683486926405e-13	2.292942296905735423e-15	-4.027957056590550495e-20	-3.393521514095367932e-15	4.034989359685058397e-20
2.756303952636997718e-09	3.850419050786504392e-14	3.909997204032963412e-10	7.620198396452408796e-10	-1.092153846655099048e-12	-4.561630417136536461e-17	1.669252171773599413e-12	4.569594446357241356e-17
-8.276865346681849007e-07	4.360569989705116677e-11	-3.477376438957727471e-07	-7.407875108649112436e-07	3.196875700283128312e-10	-5.166011397390246422e-14	-5.056150102095962544e-10	5.175030599289801988e-14
1.458213721844994184e-04	4.938312008204114769e-08	2.043088318359438996e-04	4.913868321379638018e-04	-5.495177303658184265e-08	-5.850468213669648803e-11	8.984291656160092842e-08	5.860682390520415220e-11
-1.362885068828259723e-02	5.592600404981028456e-05	-7.389333387671566389e-02	-2.131940367174824380e-01	4.959739046225235909e-06	-6.625610298972654674e-08	-8.380546220502472661e-06	6.637177775773885843e-08
9.893437208729435883e-02	6.333576987001342251e-02	1.363537064700250312e+01	5.496458816148641802e+01	-1.008002227738758220e-03	-7.503452754650122097e-05	1.150379836046201655e-03	7.516552833246958702e-05
1.594433434021378616e+03	7.172727272727270531e+01	-5.076580530218666354e+02	-6.581318204239811166e+03	1.963202003418578617e-03	-8.497602590661947064e-02	-3.402804502796696797e-03	8.512438329016315530e-02
