# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-2.117215156901803937e-30	8.769556171601303488e-35	-1.014521631360471425e-27	-2.383461650104566613e-28	1.002426218377683719e-32	-1.173956921619858645e-36	-9.670566645301343085e-33	1.177129927087833111e-36
3.955495418340501152e-26	3.407161846365392338e-31	1.192800074386145923e-23	2.641806450247535239e-24	-1.873985587032377781e-28	-4.561076016107419958e-33	1.805276807308804056e-28	4.573403827181599884e-33
-3.147775250085905591e-22	1.323755914229841445e-27	-6.255726295190148726e-20	-1.302888536505694124e-20	1.492320397461680019e-24	-1.772076474152492308e-29	-1.435532738873830771e-24	1.776866094826474327e-29
1.391306724591990908e-18	5.143077433576540874e-24	1.926379235178781860e-16	3.763002694931471769e-17	-6.600608539798180060e-21	-6.884899570090329721e-26	6.340378767211291743e-21	6.903508280154585799e-26
-3.734159700772017910e-15	1.998196586200224125e-20	-3.854726870697694075e-13	-7.049459468378164523e-14	1.772791621214723325e-17	-2.674932080055984095e-22	-1.700599859780935855e-17	2.682161965548516848e-22
6.249823623583460666e-12	7.763425008994292794e-17	5.232251144819659565e-10	8.964297843672902979e-11	-2.969124947997577243e-14	-1.039268846272910328e-18	2.844916983523926782e-14	1.042077812829680663e-18
-6.447561650166654687e-09	3.016258174321530619e-13	-4.871261555926688178e-07	-7.872775706380353156e-08	3.065472283036014378e-11	-4.037783773600789544e-15	-2.935038651354367465e-11	4.048697214934271524e-15
3.902837829270632148e-06	1.171881400750469042e-09	3.062587709081274895e-04	4.772929506846323728e-05	-1.859657789495682255e-08	-1.568766143700271000e-11	1.780663898130035403e-08	1.573006251203590519e-11
-1.253883901799549873e-03	4.553012169569300860e-06	-1.236435857493833612e-01	-1.970589021296430265e-02	5.943952512703980806e-06	-6.094995055729643755e-08	-5.697362238685638756e-06	6.111468788524218443e-08
4.217767773913869145e-02	1.768943495730095419e-02	2.840450153799253030e+01	5.416667075388663655e+00	-3.495721664264542922e-03	-2.368037127684627710e-04	3.479839678805666386e-03	2.374437528428585253e-04
1.593949666222220230e+03	6.872727272727271952e+01	-2.589055392902288077e+03	-9.143659457361467275e+02	2.863975174404349497e-02	-9.200335335500228195e-01	-2.762954664363115320e-02	9.225202273791677232e-01
