# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-1.369125009410717209e-23	2.858641302601761977e-24	4.229876625309044210e-25	4.810326926302570175e-29	1.516517012268651319e-27	-9.340890496077491094e-28	-6.641726189446582564e-27	9.739712459897633739e-28
7.266069941224931220e-20	-1.300333604042523129e-20	-4.361833169244000094e-21	-4.730381442643314663e-25	-7.535820113067773263e-24	4.351150332927565068e-24	3.557257989570647610e-23	-4.318399949222926045e-24
-1.686688584611738843e-16	2.519516818470302338e-17	1.999438171763649732e-17	2.039437741888176185e-21	1.631320673498955692e-20	-8.672012606206582081e-21	-8.333515921026930129e-20	8.069102567349320170e-21
2.249584494184193245e-13	-2.711463914034536183e-14	-5.362730656782548749e-14	-5.050270227760196363e-18	-2.021093199384022337e-17	9.647913145559368457e-18	1.121615598484868114e-16	-8.247635425615284939e-18
-1.903945406513270144e-10	1.771980277622866499e-11	9.315929322783092832e-11	7.868175965537264691e-15	1.583479694903435834e-14	-6.553929406371400459e-15	-9.578176089092585768e-14	5.006568704298214998e-15
1.065488641169717756e-07	-7.221931875367414890e-09	-1.094795773018230507e-07	-7.839865726912893690e-12	-8.180909134134188790e-12	2.792359156595680864e-12	5.407197191796618656e-11	-1.832662981233893700e-12
-3.981449946251205480e-05	1.814545877309025179e-06	8.811795075211354973e-05	4.623109871431638929e-09	2.817565884528455344e-09	-7.371240084397128994e-10	-2.037746405320873380e-08	3.918798241463781365e-10
9.781916781897544849e-03	-2.676222489280345100e-04	-4.795571863695229781e-02	-8.701561045984892937e-07	-6.378034016595386136e-07	1.145683537677738052e-07	5.047970489531340153e-06	-4.469771301030752950e-08
-1.508481142613109727e+00	2.097736799705238533e-02	1.688834732780818371e+01	-1.002354292962793136e-03	9.058825026702760884e-05	-1.009606775302172048e-05	-7.846059721123565004e-04	2.840735992300615253e-06
1.310375472031253139e+02	-2.058526071810397040e-01	-3.476661113717626904e+03	1.043591350414636132e+00	-7.990429628112891841e-03	3.374517190507824089e-04	6.966667946693831659e-02	-1.477705379155752484e-05
-3.322895851115163168e+03	6.037648248277673879e+00	3.182037786539449007e+05	-4.448235356151015480e+02	2.520543359658478089e-01	-2.963665813587147181e-03	-2.599759561685732745e+00	-3.320851713048381289e-04
