# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-1.498288539224736894e-29	3.231654214478966399e-30	1.739582903735247038e-25	1.425469483044630090e-27	6.601201892821734711e-32	-1.429995335890114758e-32	-6.584978326717039357e-32	1.382293034788412762e-32
3.161753335079622497e-25	-5.867113249033216291e-26	-1.576906807460402658e-21	-1.053882320616560792e-23	-1.393178454724298818e-27	2.608606877428795365e-28	1.389978552123042880e-27	-2.507414395021772487e-28
-2.918279548876894562e-21	4.539419543111099271e-22	6.272856445849245213e-18	3.177579424713728417e-20	1.286020618313900074e-23	-2.029965814195705787e-24	-1.283290355904976726e-23	1.939565091709631538e-24
1.547536640949368818e-17	-1.951889211500283931e-18	-1.439103556083281195e-14	-4.778720685139199364e-17	-6.820110939850483264e-20	8.790443353819475854e-21	6.806775592142568585e-20	-8.346590919628992844e-21
-5.207352117318787009e-14	5.100279595738161793e-15	2.104215134727603803e-11	2.967367822786495441e-14	2.294990126968530033e-16	-2.317456870354583882e-17	-2.290811423265729318e-16	2.186303531024766471e-17
1.158523182468274504e-10	-8.319025006457670893e-12	-2.044715485654756298e-08	1.517200402981328995e-11	-5.105802597772160475e-13	3.824505412695791899e-14	5.096841589745124922e-13	-3.583930687406445312e-14
-1.720881025701645831e-07	8.375225014464015150e-09	1.334781277779665947e-05	-4.407594644789976597e-08	7.583854186517564739e-10	-3.914218456156179032e-11	-7.570210555849891426e-10	3.640259178967475851e-11
1.680490795540528018e-04	-4.958213576865522335e-06	-5.773047675620771903e-03	3.849434900047774260e-05	-7.405475048746517227e-07	2.378228040216944082e-08	7.390728823928492607e-07	-2.188297023118713297e-08
-1.029898920297419307e-01	1.567678908508145317e-03	1.583953610527591538e+00	-1.887529175976832008e-02	4.537505417957892200e-04	-8.450881085869452796e-06	-4.526808430565059087e-04	7.684347919520192718e-06
3.555849831883070067e+01	-1.138174871355437656e-01	-2.502475511373296513e+02	5.670553655622285305e+00	-1.598453614514650234e-01	1.126958960426051358e-03	1.594063829411849764e-01	-9.688311142296651907e-04
-3.705424766331418596e+03	7.436126761553445874e+00	1.771121363561253747e+04	-9.839705661240097925e+02	2.337077825832252742e+01	-4.113519177948184863e-02	-2.328733824660216101e+01	3.269918339862843554e-02
