# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-4.458018725479610116e-32	1.711990635395793806e-36	6.693946886825803052e-28	1.128933965928303483e-27	3.880185241853646573e-34	-4.782629846624409558e-38	-3.779053039585939630e-34	4.817507939533976556e-38
1.231204158585699230e-27	9.827953338798576768e-33	-7.982660147526807867e-24	-1.362649786905779005e-23	-1.072383621673701460e-29	-2.745544397122440648e-34	1.042644371450509029e-29	2.765566718657060784e-34
-1.448451235828132935e-23	5.641892241266367677e-29	4.262641263527893431e-20	7.346939773263545773e-20	1.262660611646054710e-25	-1.576123237279333416e-30	-1.225415769813116486e-25	1.587617368012774710e-30
9.464891058260827536e-20	3.238817581316766190e-25	-1.342026280404347634e-16	-2.329640858520198181e-16	-8.259034304877773530e-22	-9.047985025102845613e-27	7.999883498733859582e-22	9.113968902691168499e-27
-3.755802919667571725e-16	1.859294519721637911e-21	2.758951986170328985e-13	4.809561375828813307e-13	3.281248137339898573e-18	-5.194139079873000932e-23	-3.171691017550766165e-18	5.232018169667269876e-23
9.294417882934436673e-13	1.067357461256418275e-17	-3.871481540745166781e-10	-6.751857907063144126e-10	-8.132285234431618151e-15	-2.981777788779804750e-19	7.843299413867857964e-15	3.003522880097326281e-19
-1.417824889273436022e-09	6.127334524012408237e-14	3.758942849209924119e-07	6.522521536311928144e-07	1.243117597111240667e-11	-1.711736756551765206e-15	-1.196138895445321446e-11	1.724219870559401645e-15
1.269107430858610519e-06	3.517493410779172612e-10	-2.498791806161190635e-04	-4.275686648517596617e-04	-1.117030318219622355e-08	-9.826495907092330420e-12	1.072297868150244251e-08	9.898157199773168640e-12
-6.030641890167026242e-04	2.019272792498482561e-06	1.093681596904797493e-01	1.814961682990345049e-01	5.299584154329763432e-06	-5.641055579516745406e-08	-5.074829007496598449e-06	5.682193879347600455e-08
3.385351053530483850e-02	1.159195522024135568e-02	-2.884114437148791410e+01	-4.467209245772898640e+01	-4.839591539681796506e-03	-3.238337282390729818e-04	4.823731628242095872e-03	3.261953374839837824e-04
1.593636869968421706e+03	6.654545454545453254e+01	3.644355296074271337e+03	4.671502696804721381e+03	5.614096674300691342e-02	-1.859018796517540650e+00	-5.364212743028563823e-02	1.872575988352350507e+00
