# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-1.781740607705501066e-29	7.446150553422080808e-34	1.340702417098497189e-27	-1.179277148836910058e-28	5.748887765546307809e-32	-6.633409418938873176e-36	-5.568231228293084722e-32	6.663249540479641690e-36
2.690630141120914875e-25	2.338345600514108464e-30	-1.607559382330666328e-23	1.533509978785182227e-24	-8.687820981307078613e-28	-2.083117124734466558e-32	8.390682695032110182e-28	2.092487942101514891e-32
-1.730684142080478862e-21	7.343203858443044935e-27	8.627122394289967008e-20	-8.833115646079531542e-21	5.593951561636513348e-24	-6.541699270020552790e-29	-5.384682174270729245e-24	6.571126837199393754e-29
6.182793931325359322e-18	2.306016822098384055e-23	-2.728815773575288320e-16	2.970196968793114679e-17	-2.001133822414165373e-20	-2.054317005571270461e-25	1.918931651916504277e-20	2.063558266777686986e-25
-1.341184012148805653e-14	7.241680452172857875e-20	5.634561272807169746e-13	-6.464514622182302676e-14	4.348493427712075081e-17	-6.451257059033304466e-22	-4.151942386330043709e-17	6.480277775617250947e-22
1.814185681558465201e-11	2.274135004950327917e-16	-7.938406625427235943e-10	9.533259385178491845e-11	-5.895038884220775349e-14	-2.025915062225442321e-18	5.601974234833635051e-14	2.035028558448890308e-18
-1.512559338887734767e-08	7.141560656944852001e-13	7.733279385306767175e-07	-9.677585015486737908e-08	4.928980102989037180e-11	-6.362065256111396669e-15	-4.660611811958275727e-11	6.390684747010097140e-15
7.399351183273677500e-06	2.242693969610505817e-09	-5.150218637892233636e-04	6.720275817486316705e-05	-2.423134281757940829e-08	-1.997905789720400421e-11	2.280159305203259596e-08	2.006893287374631108e-11
-1.920903245246320494e-03	7.042825067145780426e-06	2.250606757952740844e-01	-3.098981518322588974e-02	6.275606750147511450e-06	-6.274106573748112377e-08	-5.877506791194918182e-06	6.302330386104072343e-08
5.256804394957039633e-02	2.211687622053550017e-02	-5.874117197347032970e+01	8.917873308501746976e+00	-2.905293918264801635e-03	-1.970283759188573743e-04	2.869499069018310346e-03	1.979147000265799050e-04
1.593947315854747103e+03	6.945454545454543904e+01	7.158450554848868705e+03	-1.378536737114176731e+03	1.982427334732414850e-02	-6.187363963445020598e-01	-1.848163506504891390e-02	6.215197567708771187e-01
