# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-1.349116460793984073e-27	5.929186155911689204e-32	-8.039274062828068556e-29	-6.687810623999301789e-28	1.896387803387006137e-30	-2.214180233962742595e-34	-1.908135510488136688e-30	2.237598380397213706e-34
1.316961045086362097e-23	1.204077021663965198e-28	1.046579619093679978e-24	7.903984468628085442e-24	-1.851180193924820258e-26	-4.496474678702582916e-31	1.860548587053757282e-26	4.544031377497735445e-31
-5.475654169900297449e-20	2.445194729893311780e-25	-5.997837340477249178e-21	-4.179683720342650701e-20	7.700111304600897616e-23	-9.131273157483029826e-28	-7.726646668781910048e-23	9.227849528572920897e-28
1.264401888478506076e-16	4.965610305257235914e-22	1.991665981757844479e-17	1.302158204175196836e-16	-1.779597672191131439e-19	-1.854344913171593632e-24	1.782082029998095795e-19	1.873957282594180650e-24
-1.772765406105235569e-13	1.008397629940610204e-18	-4.232810905639654413e-14	-2.646749980677209632e-13	2.498269189453995362e-16	-3.765734523216463854e-21	-2.495893164323392362e-16	3.805562591928013460e-21
1.549833526242570140e-10	2.047816315737170485e-15	5.981071720721416385e-11	3.668123510765900661e-10	-2.187554860943739531e-13	-7.647313290325345564e-18	2.180256793532991013e-13	7.728194647550091209e-18
-8.350890598969669125e-08	4.158629035300625980e-12	-5.620768010761284267e-08	-3.512443066011632809e-07	1.180926451211854474e-10	-1.552987875269427480e-14	-1.174554439757449521e-10	1.569412959784308247e-14
2.640057316709561126e-05	8.445188819105524097e-09	3.367686399846627838e-05	2.298361489800337129e-04	-3.746712245896359125e-08	-3.153749884662100335e-11	3.721207534643318991e-08	3.187105333999001388e-11
-4.428348595675876166e-03	1.715017463325847329e-05	-1.123890892899532222e-02	-9.878462946781381426e-02	6.249473980158726458e-06	-6.404517699972808482e-08	-6.200673893197355966e-06	6.472254703058458737e-08
6.931545274458417172e-02	3.482793531932127512e-02	1.015007482843806264e+00	2.555670985919529414e+01	-1.881082759842013378e-03	-1.300605579686283167e-04	1.881974854498035064e-03	1.314361357762249460e-04
1.594174227278737362e+03	7.072727272727270531e+01	4.470722955336225368e+02	-3.211175569837615967e+03	8.272073295061759327e-03	-2.641221327123936535e-01	-8.116162414482996218e-03	2.669156048451358232e-01
