# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-4.923063629585624746e-31	1.951736095816670454e-35	1.624999811205802446e-27	-9.694786123870769546e-29	2.847884266563370114e-33	-3.463212097661090087e-37	-2.904741883177585133e-33	3.484188594440097983e-37
1.067994413946925499e-26	8.801805681920314410e-32	-1.921336011238039194e-23	1.067225955984324002e-24	-6.172856267810513666e-29	-1.561815656544163790e-33	6.298685760577604738e-29	1.571275493298322836e-33
-9.868994885063812606e-23	3.969378002914270873e-28	1.015819866606174137e-19	-5.266366774361367650e-21	5.699588853982208406e-25	-7.043369208238377667e-30	-5.818049930214365999e-25	7.086030531698686207e-30
5.065220939505683767e-19	1.790082887467491310e-24	-3.162326557140040483e-16	1.536208334611217358e-17	-2.923202305924018408e-21	-3.176370373526070488e-26	2.985010393647549126e-21	3.195609484799158560e-26
-1.578633512711795678e-15	8.072793121872796954e-21	6.419579486995767080e-13	-2.943342020045564931e-14	9.105280241902085129e-18	-1.432457741674683455e-22	-9.300385943188087387e-18	1.441134064220621909e-22
3.068153908007552452e-12	3.640612914900023466e-17	-8.881487613502079856e-10	3.895978580847590601e-11	-1.769097033535133769e-14	-6.459999749355087558e-19	1.807245203542584927e-14	6.499127634137615015e-19
-3.675651821734705754e-09	1.641818661279164771e-13	8.485230198914756775e-07	-3.651971926623570862e-08	2.119988759271648233e-11	-2.913286413104198338e-15	-2.165344148518324716e-11	2.930932038418940231e-15
2.583796194740514001e-06	7.404161275955186598e-10	-5.534063605783207758e-04	2.447901615916028026e-05	-1.493944224282246630e-08	-1.313813940259799785e-11	1.524696440498957269e-08	1.321771643429261314e-11
-9.640459590871294478e-04	3.339077907522504917e-06	2.364258402944242610e-01	-1.168928548353139613e-02	5.556035951655268404e-06	-5.924948065033397438e-08	-5.659206521887501008e-06	5.960835169402748606e-08
4.154376582666791801e-02	1.505834470233972239e-02	-6.018737277488747139e+01	3.879305091037956732e+00	-3.947385921569371466e-03	-2.671992471506366815e-04	3.981687612465554214e-03	2.688176591881188829e-04
1.593726670473424974e+03	6.790909090909089230e+01	7.123266091520619739e+03	-7.885840292829690270e+02	3.629954351965122838e-02	-1.204996852195439061e+00	-3.671510038379394852e-02	1.212295455883576789e+00
