# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-1.978877691478024559e-27	4.166186169803987427e-28	1.964493836265036081e-25	1.062737796074881584e-27	3.555940748846579667e-30	-8.324595138895043178e-31	-3.584298251063561175e-30	7.371481453248289667e-31
2.554351937821022883e-23	-4.616225615056818063e-24	-1.849777030485677626e-21	-8.676605773061383120e-24	-4.583702582897363452e-26	9.213001701345273946e-27	4.617789560816539939e-26	-8.199794427927773291e-27
-1.442206753919166130e-19	2.179221859598480223e-20	7.677730474314528805e-18	3.038350367766852344e-20	2.584773947097372224e-22	-4.342415923112402927e-23	-2.602188830750407256e-22	3.888814988269774461e-23
4.678564269404492513e-16	-5.715576791115030892e-17	-1.847350835008402650e-14	-5.928184091490136630e-17	-8.376021640069245865e-19	1.136961867394454767e-19	8.425300951773779779e-19	-1.025448318708907164e-19
-9.631376856161047898e-13	9.106162845250782119e-14	2.849670521101626832e-11	6.951512211767222079e-14	1.722772362022696510e-15	-1.809145359312429150e-16	-1.731184148027768163e-15	1.644089561511278807e-16
1.311026662178523019e-09	-9.051856412138176208e-11	-2.940917191822918370e-08	-4.792077426021632076e-11	-2.343502603559114371e-12	1.799012558964679479e-13	2.352266757087548621e-12	-1.646567674978514147e-13
-1.191617142463237324e-06	5.550162152938021102e-08	2.054132978705224574e-05	1.496309721481452776e-08	2.129250902387306673e-09	-1.107662578908496738e-10	-2.134456771962347423e-09	1.019138510727414942e-10
7.121218100335821154e-04	-1.999289879980788650e-05	-9.581594741059285686e-03	3.826194205692994863e-06	-1.272440501404617417e-06	4.038767766510824682e-08	1.273667616486848098e-06	-3.723750486292953854e-08
-2.671199338401253343e-01	3.837551554053441824e-03	2.857143119260161512e+00	-6.139437054896670735e-03	4.773898339199371117e-04	-8.563460586475679523e-06	-4.770241193536935869e-04	7.963469878321730502e-06
5.645159763756570470e+01	-1.321607984830295290e-01	-4.930851374407617413e+02	2.940690566768502823e+00	-1.030078612329111409e-01	6.673607887068595682e-04	1.027280695569602331e-01	-6.371154171284149808e-04
-3.557569634972357562e+03	6.652509701155690180e+00	3.783668099782382342e+04	-7.272641224183433906e+02	9.235095067779601763e+00	-1.389716327155977524e-02	-9.186650099031027139e+00	1.349513836148923292e-02
