# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-2.292648147412372306e-21	1.091484473857619249e-25	2.269383833185436013e-26	-3.445438410137201266e-29	2.788484714568515733e-25	-2.435020602280044567e-29	-3.668009106372718502e-25	2.436928041207444019e-29
5.297026648684682697e-18	5.250103248991235064e-23	-2.816486618506878553e-22	5.009064530493196885e-25	-6.611321148072885976e-22	-1.171258948852322872e-26	8.614579480921959763e-22	1.172176437973775950e-26
-5.212520475550836778e-15	2.525329932330663899e-20	1.567105383135555449e-18	-3.156316542589166989e-21	6.686772788789215096e-19	-5.633823073127640078e-24	-8.613551139815094692e-19	5.638236248699831605e-24
2.848568618381040751e-12	1.214698257286757199e-17	-5.148352704865853054e-15	1.144134442455112433e-17	-3.760987222230182857e-16	-2.709901380083907571e-21	4.781100654407553043e-16	2.712024142978375732e-21
-9.451394275607294178e-10	5.842768651198506440e-15	1.106107211524584366e-11	-2.655782640593272245e-14	1.285408598518714830e-13	-1.303478187806110190e-18	-1.610969469835172659e-13	1.304499248997177572e-18
1.955248499843543591e-07	2.810405407815529288e-12	-1.624252600645844395e-08	4.140533561010730500e-11	-2.738667826524264979e-11	-6.269805235619654267e-16	3.385764665926169910e-11	6.274716598818157335e-16
-2.492809738879170526e-05	1.351821204602822077e-09	1.651454911458530579e-05	-4.406915854857947860e-08	3.589493746787773685e-09	-3.015812467009304587e-13	-4.392608597741259427e-09	3.018174861024338598e-13
1.864580211105295367e-03	6.502337933637275028e-07	-1.148521591726577723e-02	3.179604572894551749e-05	-2.751506528355368125e-07	-1.450623184353168205e-10	3.359581099933980384e-07	1.451759509494825082e-10
-7.397694875569477135e-02	3.127662035427284824e-04	5.232367403439027065e+00	-1.508552427488281042e-02	1.101621362810453442e-05	-6.977581152682572540e-08	-1.363188982084527769e-05	6.983046942128976088e-08
2.040224129476443105e-01	1.504423471632939935e-01	-1.411757700896990400e+03	4.489909473436616949e+00	-5.449213209311952162e-04	-3.356256763811506184e-05	5.971996282186503580e-04	3.358885840048334183e-05
1.594555456932853986e+03	7.236363636363634555e+01	1.717921738502127992e+05	-7.871177298992818123e+02	7.951998457384563870e-04	-1.614378853952819215e-02	-1.069810918058775951e-03	1.615643454780720661e-02
